
---------- Begin Simulation Statistics ----------
simSeconds                                   0.008820                       # Number of seconds simulated (Second)
simTicks                                   8819812000                       # Number of ticks simulated (Tick)
finalTick                                  8819812000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     37.91                       # Real time elapsed on the host (Second)
hostTickRate                                232630640                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2269508                       # Number of bytes of host memory used (Byte)
simInsts                                     27217481                       # Number of instructions simulated (Count)
simOps                                       27217528                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   717867                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     717865                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         17639625                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.648099                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.542974                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        27242193                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      197                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       27235806                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     12                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                24861                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             15941                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  74                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            17589803                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.548386                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.577233                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   6377379     36.26%     36.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2940967     16.72%     52.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   3955388     22.49%     75.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2277589     12.95%     88.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1206820      6.86%     95.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    431498      2.45%     97.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    241437      1.37%     99.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    151896      0.86%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      6829      0.04%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              17589803                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    6188      2.02%      2.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                     17      0.01%      2.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       9      0.00%      2.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      2.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      2.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      2.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      2.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 1      0.00%      2.03% # attempts to use FU when none available (Count)
