
---------- Begin Simulation Statistics ----------
simSeconds                                   0.009282                       # Number of seconds simulated (Second)
simTicks                                   9282299000                       # Number of ticks simulated (Tick)
finalTick                                  9282299000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     39.57                       # Real time elapsed on the host (Second)
hostTickRate                                234522607                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2269504                       # Number of bytes of host memory used (Byte)
simInsts                                     27217481                       # Number of instructions simulated (Count)
simOps                                       27217528                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   687647                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     687644                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         18564599                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.682084                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.466096                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        27237569                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      184                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       27231931                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     24                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                20224                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             12606                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  61                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            18513525                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.470921                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.559928                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   7060820     38.14%     38.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3185771     17.21%     55.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   4223737     22.81%     78.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2029142     10.96%     89.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1118573      6.04%     95.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    491346      2.65%     97.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    255298      1.38%     99.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    142254      0.77%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      6584      0.04%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              18513525                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   12470      4.04%      4.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                     17      0.01%      4.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       9      0.00%      4.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      4.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      4.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      4.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      4.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 1      0.00%      4.05% # attempts to use FU when none available (Count)
